No;X1 transaction date;X2 house age;X3 distance to the nearest MRT station;X4 number of convenience stores;X5 latitude;X6 longitude;Y house price of unit area
1;2.012.917;32;8487882;10;2.498.298;12.154.024;37.9
2;2.012.917;19.5;3065947;9;2.498.034;12.153.951;42.2
3;2.013.583;13.3;5619845;5;2.498.746;12.154.391;47.3
4;2.013.500;13.3;5619845;5;2.498.746;12.154.391;54.8
5;2.012.833;5;3905684;5;2.497.937;12.154.245;43.1
6;2.012.667;7.1;2175.03;3;2.496.305;12.151.254;32.1
7;2.012.667;34.5;6234731;7;2.497.933;12.153.642;40.3
8;2.013.417;20.3;2876025;6;2.498.042;12.154.228;46.7
9;2.013.500;31.7;5512038;1;2.495.095;12.148.458;18.8
10;2.013.417;17.9;1783.18;3;2.496.731;12.151.486;22.1
11;2.013.083;34.8;4052134;1;2.497.349;12.153.372;41.4
12;2.013.333;6.3;9045606;9;2.497.433;1.215.431;58.1
13;2.012.917;13;4922313;5;2.496.515;12.153.737;39.3
14;2.012.667;20.4;2469645;4;2.496.108;12.151.046;23.8
15;2.013.500;13.2;1164838;4;2.499.156;12.153.406;34.3
16;2.013.583;35.7;5792083;2;249.824;12.154.619;50.5
17;2.013.250;0;2929978;6;2.497.744;12.154.458;70.1
18;2.012.750;17.7;3508515;1;2.497.544;12.153.119;37.4
19;2.013.417;16.9;3681363;8;249.675;12.154.451;42.3
20;2.012.667;1.5;2338284;7;2.496.772;12.154.102;47.7
21;2.013.417;4.5;2275877;3;2.496.314;12.151.151;29.3
22;2.013.417;10.5;2791726;7;2.497.528;12.154.541;51.6
23;2.012.917;14.7;1360139;1;2.495.204;12.154.842;24.6
24;2.013.083;10.1;2791726;7;2.497.528;12.154.541;47.9
25;2.013.000;39.6;4806977;4;2.497.353;12.153.885;38.8
26;2.013.083;29.3;1487868;2;2.497.542;12.151.726;27
27;2.012.667;3.1;3838624;5;2.498.085;12.154.391;56.2
28;2.013.250;10.4;276449;5;2.495.593;12.153.913;33.6
29;2.013.500;19.2;557478;4;2.497.419;12.153.797;47
30;2.013.083;7.1;4512438;5;2.497.563;12.154.694;57.1
31;2.013.500;25.9;4519.69;0;2.494.826;12.149.587;22.1
32;2.012.750;29.6;7694034;7;2.498.281;12.153.408;25
33;2.012.750;37.9;4885727;1;2.497.349;12.153.451;34.2
34;2.013.250;16.5;323655;6;2.497.841;12.154.281;49.3
35;2.012.750;15.4;205367;7;2.498.419;12.154.243;55.1
36;2.013.500;13.9;4079418;0;2.501.459;12.151.816;27.3
37;2.012.917;14.7;1935009;2;2.496.386;12.151.458;22.9
38;2.013.167;12;1360139;1;2.495.204;12.154.842;25.3
39;2.012.667;3.1;5779615;6;2.497.201;12.154.722;47.7
40;2.013.167;16.2;2893248;5;2.498.203;12.154.348;46.2
41;2.013.000;13.6;4082015;0;2.494.155;12.150.381;15.9
42;2.013.500;16.8;4066587;0;2.494.297;12.150.342;18.2
43;2.013.417;36.1;5194617;5;2.496.305;12.153.758;34.7
44;2.012.750;34.4;5127871;6;2.498.748;12.154.301;34.1
45;2.013.583;2.7;5334762;4;2.497.445;12.154.765;53.9
46;2.013.083;36.6;4888193;8;2.497.015;12.154.494;38.3
47;2.013.417;21.7;4639623;9;249.703;12.154.458;42
48;2.013.583;35.9;6407391;3;2.497.563;12.153.715;61.5
49;2.013.417;24.2;4605749;0;2.494.684;12.149.578;13.4
50;2.012.667;29.4;4510359;1;2.494.925;12.149.542;13.2
51;2.013.417;21.7;5125487;4;24.974;12.153.842;44.2
52;2.013.083;31.3;1758406;1;2.495.402;12.155.282;20.7
53;2.013.583;32.1;1438579;3;2.497.419;1.215.175;27
54;2.013.083;13.3;4922313;5;2.496.515;12.153.737;38.9
55;2.013.083;16.1;2893248;5;2.498.203;12.154.348;51.7
56;2.012.833;31.7;1160632;0;2.494.968;12.153.009;13.7
57;2.013.417;33.6;3712495;8;2.497.254;12.154.059;41.9
58;2.012.917;3.5;5647425;7;2.495.744;12.153.711;53.5
59;2.013.500;30.3;4510359;1;2.494.925;12.149.542;22.6
60;2.013.083;13.3;3360532;5;2.495.776;12.153.438;42.4
61;2.013.417;11;1931207;2;2.496.365;12.151.471;21.3
62;2.013.500;5.3;2596607;6;2.497.585;12.154.516;63.2
63;2.012.917;17.2;2175877;3;2.496.303;12.151.254;27.7
64;2.013.583;2.6;5334762;4;2.497.445;12.154.765;55
65;2.013.333;17.5;9957554;0;2.496.305;12.154.915;25.3
66;2.013.417;40.1;1237429;8;2.497.635;12.154.329;44.3
67;2.013.000;1;1935845;6;2.496.571;12.154.089;50.7
68;2.013.500;8.5;1048101;5;2.496.674;12.154.067;56.8
69;2.013.417;30.4;464223;6;2.497.964;12.153.805;36.2
70;2.012.833;12.5;5619845;5;2.498.746;12.154.391;42
71;2.013.583;6.6;9045606;9;2.497.433;1.215.431;59
72;2.013.083;35.5;6407391;3;2.497.563;12.153.715;40.8
73;2.013.583;32.5;4245442;8;2.497.587;12.153.913;36.3
74;2.013.167;13.8;4082015;0;2.494.155;12.150.381;20
75;2.012.917;6.8;3795575;10;2.498.343;12.153.762;54.4
76;2.013.500;12.3;1360139;1;2.495.204;12.154.842;29.5
77;2.013.583;35.9;6164004;3;2.497.723;12.153.767;36.8
78;2.012.833;20.5;2185128;3;2.496.322;12.151.237;25.6
79;2.012.917;38.2;5524371;2;2.497.598;12.153.381;29.8
80;2.013.000;18;1414837;1;2.495.182;12.154.887;26.5
81;2.013.500;11.8;5334762;4;2.497.445;12.154.765;40.3
82;2.013.000;30.8;3777956;6;2.496.427;12.153.964;36.8
83;2.013.083;13.2;1509347;7;2.496.725;12.154.252;48.1
84;2.012.917;25.3;2707392;3;2.496.056;12.150.831;17.7
85;2.013.083;15.1;3832805;7;2.496.735;12.154.464;43.7
86;2.012.750;0;3389679;9;2.496.853;12.154.413;50.8
87;2.012.833;1.8;1455798;1;249.512;121.549;27
88;2.013.583;16.9;4066587;0;2.494.297;12.150.342;18.3
89;2.012.917;8.9;1406.43;0;2.498.573;12.152.758;48
90;2.013.500;23;3947945;0;2.494.783;12.150.243;25.3
91;2.012.833;0;2740144;1;249.748;12.153.059;45.4
92;2.013.250;9.1;1402016;0;2.498.569;1.215.276;43.2
93;2.012.917;20.6;2469645;4;2.496.108;12.151.046;21.8
94;2.012.917;31.9;1146329;0;249.492;12.153.076;16.1
95;2.012.917;40.9;1675989;5;249.663;12.154.026;41
96;2.012.917;8;1048101;5;2.496.674;12.154.067;51.8
97;2.013.417;6.4;9045606;9;2.497.433;1.215.431;59.5
98;2.013.083;28.4;6174424;3;2.497.746;12.153.299;34.6
99;2.013.417;16.4;2893248;5;2.498.203;12.154.348;51
100;2.013.417;6.4;9045606;9;2.497.433;1.215.431;62.2
101;2.013.500;17.5;9647496;4;2.498.872;12.153.411;38.2
102;2.012.833;12.7;1701289;1;2.497.371;12.152.984;32.9
103;2.013.083;1.1;1935845;6;2.496.571;12.154.089;54.4
104;2.012.750;0;2083905;6;2.495.618;12.153.844;45.7
105;2.012.667;32.7;3924459;6;2.496.398;1.215.425;30.5
106;2.012.833;0;2929978;6;2.497.744;12.154.458;71
107;2.013.083;17.2;1895181;8;2.497.707;12.154.308;47.1
108;2.013.333;12.2;1360139;1;2.495.204;12.154.842;26.6
109;2.013.417;31.4;5925006;2;249.726;12.153.561;34.1
110;2.013.583;4;2147376;3;2.496.299;12.151.284;28.4
111;2.013.083;8.1;1048101;5;2.496.674;12.154.067;51.6
112;2.013.583;33.3;1966172;7;2.497.701;12.154.224;39.4
113;2.013.417;9.9;2102427;3;2.496.044;12.151.462;23.1
114;2.013.333;14.8;3932606;6;2.496.172;12.153.812;7.6
115;2.012.667;30.6;1438383;8;2.498.155;12.154.142;53.3
116;2.013.083;20.6;7379161;2;2.498.092;12.154.739;46.4
117;2.013.000;30.9;6396283;1;2.494.375;12.147.883;12.2
118;2.013.000;13.6;4197349;0;2.493.885;12.150.383;13
119;2.013.500;25.3;1583722;3;2.496.622;12.151.709;30.6
120;2.013.500;16.6;2893248;5;2.498.203;12.154.348;59.6
121;2.013.167;13.3;4922313;5;2.496.515;12.153.737;31.3
122;2.013.500;13.6;4922313;5;2.496.515;12.153.737;48
123;2.013.250;31.5;4149476;4;2.498.199;12.154.464;32.5
124;2.013.417;0;1854296;0;249.711;1.215.317;45.5
125;2.012.917;9.9;2791726;7;2.497.528;12.154.541;57.4
126;2.013.167;1.1;1935845;6;2.496.571;12.154.089;48.6
127;2.013.083;38.6;8046897;4;2.497.838;12.153.477;62.9
128;2.013.250;3.8;3838624;5;2.498.085;12.154.391;55
129;2.013.083;41.3;1249912;6;2.496.674;12.154.039;60.7
130;2.013.417;38.5;2168329;7;2.498.086;12.154.162;41
131;2.013.250;29.6;535527;8;2.498.092;12.153.653;37.5
132;2.013.500;4;2147376;3;2.496.299;12.151.284;30.7
133;2.013.167;26.6;4827581;5;2.497.433;12.153.863;37.5
134;2.012.833;18;3733937;8;249.866;12.154.082;39.5
135;2.012.667;33.4;1869686;6;2.496.604;12.154.211;42.2
136;2.012.917;18.9;1009235;0;2.496.357;12.154.951;20.8
137;2.012.750;11.4;3905684;5;2.497.937;12.154.245;46.8
138;2.013.500;13.6;3190708;6;2.496.495;12.154.277;47.4
139;2.013.167;10;9424664;0;2.497.843;12.152.406;43.5
140;2.012.667;12.9;4922313;5;2.496.515;12.153.737;42.5
141;2.013.250;16.2;2893248;5;2.498.203;12.154.348;51.4
142;2.013.333;5.1;1559827;3;2.497.213;12.151.627;28.9
143;2.013.417;19.8;6406071;5;2.497.017;12.154.647;37.5
144;2.013.500;13.6;4922313;5;2.496.515;12.153.737;40.1
145;2.013.083;11.9;1360139;1;2.495.204;12.154.842;28.4
146;2.012.917;2.1;4512438;5;2.497.563;12.154.694;45.5
147;2.012.750;0;1854296;0;249.711;1.215.317;52.2
148;2.012.750;3.2;4898821;8;2.497.017;12.154.494;43.2
149;2.013.500;16.4;3780.59;0;2.493.293;12.151.203;45.1
150;2.012.667;34.9;1794538;8;2.497.349;12.154.245;39.7
151;2.013.250;35.8;1707311;7;2.496.719;12.154.269;48.5
152;2.013.500;4.9;3877721;9;2.498.118;12.153.788;44.7
153;2.013.333;12;1360139;1;2.495.204;12.154.842;28.9
154;2.013.250;6.5;3761709;6;2.495.418;12.153.713;40.9
155;2.013.500;16.9;4066587;0;2.494.297;12.150.342;20.7
156;2.013.167;13.8;4082015;0;2.494.155;12.150.381;15.6
157;2.013.583;30.7;1264.73;0;2.494.883;12.152.954;18.3
158;2.013.250;16.1;8159314;4;2.497.886;12.153.464;35.6
159;2.013.000;11.6;3905684;5;2.497.937;12.154.245;39.4
160;2.012.667;15.5;8159314;4;2.497.886;12.153.464;37.4
161;2.012.917;3.5;4966105;8;2.495.836;12.153.756;57.8
162;2.013.417;19.2;6164004;3;2.497.723;12.153.767;39.6
163;2.012.750;16;4066587;0;2.494.297;12.150.342;11.6
164;2.013.500;8.5;1048101;5;2.496.674;12.154.067;55.5
165;2.012.833;0;1854296;0;249.711;1.215.317;55.2
166;2.012.917;13.7;1236564;1;2.497.694;12.155.391;30.6
167;2.013.417;0;2929978;6;2.497.744;12.154.458;73.6
168;2.013.417;28.2;3300854;8;2.497.408;12.154.011;43.4
169;2.013.083;27.6;5151122;5;2.496.299;1.215.432;37.4
170;2.013.417;8.4;1962628;1;2.495.468;12.155.481;23.5
171;2.013.333;24;4527687;0;2.494.741;12.149.628;14.4
172;2.013.083;3.6;3838624;5;2.498.085;12.154.391;58.8
173;2.013.583;6.6;9045606;9;2.497.433;1.215.431;58.1
174;2.013.083;41.3;4018807;4;2.498.326;1.215.446;35.1
175;2.013.417;4.3;4320385;7;249.805;12.153.778;45.2
176;2.013.083;30.2;4721745;3;2.497.005;12.153.758;36.5
177;2.012.833;13.9;4573779;0;2.494.867;12.149.507;19.2
178;2.013.083;33;1810766;9;2.497.697;12.154.262;42
179;2.013.500;13.1;1144436;4;2.499.176;12.153.456;36.7
180;2.013.083;14;4388513;1;2.497.493;1.215.273;42.6
181;2.012.667;26.9;4449.27;0;2.494.898;12.149.621;15.5
182;2.013.167;11.6;2018939;8;2.498.489;12.154.121;55.9
183;2.013.500;13.5;2147376;3;2.496.299;12.151.284;23.6
184;2.013.500;17;4082015;0;2.494.155;12.150.381;18.8
185;2.012.750;14.1;2615465;0;2.495.495;12.156.174;21.8
186;2.012.750;31.4;1447286;3;2.497.285;1.215.173;21.5
187;2.013.167;20.9;2185128;3;2.496.322;12.151.237;25.7
188;2.013.000;8.9;3078176;0;2.495.464;12.156.627;22
189;2.012.917;34.8;1900392;8;2.497.707;12.154.312;44.3
190;2.012.917;16.3;4066587;0;2.494.297;12.150.342;20.5
191;2.013.500;35.3;6165735;8;2.497.945;12.153.642;42.3
192;2.013.167;13.2;7500704;2;2.497.371;12.154.951;37.8
193;2.013.167;43.8;5758945;7;249.675;12.154.069;42.7
194;2.013.417;9.7;421479;5;2.498.246;12.154.477;49.3
195;2.013.500;15.2;3771895;0;2.493.363;12.151.158;29.3
196;2.013.333;15.2;4611016;5;2.495.425;1.215.399;34.6
197;2.013.000;22.8;7079067;2;24.981;12.154.713;36.6
198;2.013.250;34.4;1267286;8;2.496.881;12.154.089;48.2
199;2.013.083;34;1576052;7;2.496.628;12.154.196;39.1
200;2.013.417;18.2;4516419;8;2.496.945;1.215.449;31.6
201;2.013.417;17.4;9957554;0;2.496.305;12.154.915;25.5
202;2.013.417;13.1;5619845;5;2.498.746;12.154.391;45.9
203;2.012.917;38.3;6426985;3;2.497.559;12.153.713;31.5
204;2.012.667;15.6;2893248;5;2.498.203;12.154.348;46.1
205;2.013.000;18;1414837;1;2.495.182;12.154.887;26.6
206;2.013.083;12.8;1449722;3;2.497.289;12.151.728;21.4
207;2.013.250;22.2;3795575;10;2.498.343;12.153.762;44
208;2.013.083;38.5;6650636;3;2.497.503;12.153.692;34.2
209;2.012.750;11.5;1360139;1;2.495.204;12.154.842;26.2
210;2.012.833;34.8;1756294;8;2.497.347;12.154.271;40.9
211;2.013.500;5.2;3905684;5;2.497.937;12.154.245;52.2
212;2.013.083;0;2740144;1;249.748;12.153.059;43.5
213;2.013.333;17.6;1805665;2;2.498.672;12.152.091;31.1
214;2.013.083;6.2;9045606;9;2.497.433;1.215.431;58
215;2.013.583;18.1;1783.18;3;2.496.731;12.151.486;20.9
216;2.013.333;19.2;3837129;8;24.972;12.154.477;48.1
217;2.013.250;37.8;5909292;1;2.497.153;12.153.559;39.7
218;2.012.917;28;3726242;6;2.497.838;12.154.119;40.8
219;2.013.417;13.6;4922313;5;2.496.515;12.153.737;43.8
220;2.012.750;29.3;5297771;8;2.498.102;12.153.655;40.2
221;2.013.333;37.2;1865101;9;2.497.703;12.154.265;78.3
222;2.013.333;9;1402016;0;2.498.569;1.215.276;38.5
223;2.013.583;30.6;4311114;10;2.498.123;12.153.743;48.5
224;2.013.250;9.1;1402016;0;2.498.569;1.215.276;42.3
225;2.013.333;34.5;3249419;6;2.497.814;1.215.417;46
226;2.013.250;1.1;1935845;6;2.496.571;12.154.089;49
227;2.013.000;16.5;4082015;0;2.494.155;12.150.381;12.8
228;2.012.917;32.4;2650609;8;2.498.059;12.153.986;40.2
229;2.013.417;11.9;3171329;0;2.500.115;12.151.776;46.6
230;2.013.583;31;1156412;0;249.489;12.153.095;19
231;2.013.500;4;2147376;3;2.496.299;12.151.284;33.4
232;2.012.833;16.2;4074736;0;2.494.235;12.150.357;14.7
233;2.012.917;27.1;4412765;1;2.495.032;12.149.587;17.4
234;2.013.333;39.7;3333679;9;2.498.016;12.153.932;32.4
235;2.013.250;8;2216612;4;2.496.007;12.151.361;23.9
236;2.012.750;12.9;250631;7;2.496.606;12.154.297;39.3
237;2.013.167;3.6;3738389;10;2.498.322;12.153.765;61.9
238;2.013.167;13;7328528;0;2.497.668;12.152.518;39
239;2.013.083;12.8;7328528;0;2.497.668;12.152.518;40.6
240;2.013.500;18.1;8377233;0;2.496.334;12.154.767;29.7
241;2.013.083;11;1712632;2;2.496.412;1.215.167;28.8
242;2.013.500;13.7;250631;7;2.496.606;12.154.297;41.4
243;2.012.833;2;2077.39;3;2.496.357;12.151.329;33.4
244;2.013.417;32.8;2041705;8;2.498.236;12.153.923;48.2
245;2.013.083;4.8;1559827;3;2.497.213;12.151.627;21.7
246;2.013.417;7.5;6396198;5;2.497.258;12.154.814;40.8
247;2.013.417;16.4;3898219;6;2.496.412;12.154.273;40.6
248;2.013.333;21.7;1055067;0;2.496.211;12.154.928;23.1
249;2.013.000;19;1009235;0;2.496.357;12.154.951;22.3
250;2.012.833;18;6306153;1;2.495.743;12.147.516;15
251;2.013.167;39.2;4247132;7;2.497.429;12.153.917;30
252;2.012.917;31.7;1159454;0;249.496;12.153.018;13.8
253;2.012.833;5.9;9045606;9;2.497.433;1.215.431;52.7
254;2.012.667;30.4;1735595;2;2.496.464;12.151.623;25.9
255;2.012.667;1.1;3299747;5;2.498.254;12.154.395;51.8
256;2.013.417;31.5;5512038;1;2.495.095;12.148.458;17.4
257;2.012.667;14.6;3392289;1;2.497.519;12.153.151;26.5
258;2.013.250;17.3;4441334;1;2.497.501;1.215.273;43.9
259;2.013.417;0;2929978;6;2.497.744;12.154.458;63.3
260;2.013.083;17.7;8377233;0;2.496.334;12.154.767;28.8
261;2.013.250;17;1485097;4;2.497.073;121.517;30.7
262;2.013.167;16.2;2288011;3;2.495.885;12.151.359;24.4
263;2.012.917;15.9;2893248;5;2.498.203;12.154.348;53
264;2.013.417;3.9;2147376;3;2.496.299;12.151.284;31.7
265;2.013.167;32.6;493657;7;2.496.968;12.154.522;40.6
266;2.012.833;15.7;8159314;4;2.497.886;12.153.464;38.1
267;2.013.250;17.8;1783.18;3;2.496.731;12.151.486;23.7
268;2.012.833;34.7;4827581;5;2.497.433;12.153.863;41.1
269;2.013.417;17.2;3905684;5;2.497.937;12.154.245;40.1
270;2.013.000;17.6;8377233;0;2.496.334;12.154.767;23
271;2.013.333;10.8;2525822;1;249.746;12.153.046;117.5
272;2.012.917;17.7;4516419;8;2.496.945;1.215.449;26.5
273;2.012.750;13;4922313;5;2.496.515;12.153.737;40.5
274;2.013.417;13.2;1701289;1;2.497.371;12.152.984;29.3
275;2.013.167;27.5;3940173;7;2.497.305;12.153.994;41
276;2.012.667;1.5;2338284;7;2.496.772;12.154.102;49.7
277;2.013.000;19.1;4611016;5;2.495.425;1.215.399;34
278;2.013.417;21.2;2185128;3;2.496.322;12.151.237;27.7
279;2.012.750;0;2083905;6;2.495.618;12.153.844;44
280;2.013.417;2.6;1554.25;3;2.497.026;12.151.642;31.1
281;2.013.250;2.3;1843302;6;2.496.581;12.154.086;45.4
282;2.013.333;4.7;3877721;9;2.498.118;12.153.788;44.8
283;2.012.917;2;1455798;1;249.512;121.549;25.6
284;2.013.417;33.5;1978671;2;2.498.674;12.151.844;23.5
285;2.012.917;15;3832805;7;2.496.735;12.154.464;34.4
286;2.013.167;30.1;7182937;3;2.497.509;12.153.644;55.3
287;2.012.917;5.9;9045606;9;2.497.433;1.215.431;56.3
288;2.013.000;19.2;4611016;5;2.495.425;1.215.399;32.9
289;2.013.583;16.6;3236912;6;2.497.841;1.215.428;51
290;2.013.333;13.9;2893248;5;2.498.203;12.154.348;44.5
291;2.013.083;37.7;4903446;0;2.497.217;12.153.471;37
292;2.012.833;3.4;5647425;7;2.495.744;12.153.711;54.4
293;2.013.083;17.5;3956747;5;2.495.674;121.534;24.5
294;2.012.667;12.6;3832805;7;2.496.735;12.154.464;42.5
295;2.013.500;26.4;3355273;6;249.796;1.215.414;38.1
296;2.013.167;18.2;2179.59;3;2.496.299;12.151.252;21.8
297;2.012.750;12.5;1144436;4;2.499.176;12.153.456;34.1
298;2.012.833;34.9;5670349;4;2.497.003;1.215.458;28.5
299;2.013.333;16.7;4082015;0;2.494.155;12.150.381;16.7
300;2.013.167;33.2;1217262;10;2.498.178;12.154.059;46.1
301;2.013.083;2.5;1562442;4;2.496.696;12.153.992;36.9
302;2.012.750;38;4617848;0;2.497.229;12.153.445;35.7
303;2.013.500;16.5;2288011;3;2.495.885;12.151.359;23.2
304;2.013.500;38.3;4397105;0;2.497.161;12.153.423;38.4
305;2.013.417;20;1626083;3;2.496.622;12.151.668;29.4
306;2.013.083;16.2;2893248;5;2.498.203;12.154.348;55
307;2.013.500;14.4;1699803;1;2.497.369;12.152.979;50.2
308;2.012.833;10.3;3079.89;0;249.546;12.156.627;24.7
309;2.013.417;16.4;2893248;5;2.498.203;12.154.348;53
310;2.013.250;30.3;1264.73;0;2.494.883;12.152.954;19.1
311;2.013.583;16.4;1643499;2;2.495.394;12.155.174;24.7
312;2.013.167;21.3;5377971;4;2.497.425;12.153.814;42.2
313;2.013.583;35.4;3185292;9;2.497.071;12.154.069;78
314;2.013.333;8.3;1048101;5;2.496.674;12.154.067;42.8
315;2.013.250;3.7;5779615;6;2.497.201;12.154.722;41.6
316;2.013.083;15.6;1756411;2;249.832;12.151.812;27.3
317;2.013.250;13.3;250631;7;2.496.606;12.154.297;42
318;2.012.750;15.6;7527669;2;2.497.795;12.153.451;37.5
319;2.013.333;7.1;3795575;10;2.498.343;12.153.762;49.8
320;2.013.250;34.6;2726783;5;2.495.562;12.153.872;26.9
321;2.012.750;13.5;4197349;0;2.493.885;12.150.383;18.6
322;2.012.917;16.9;9647496;4;2.498.872;12.153.411;37.7
323;2.013.000;12.9;1874823;1;2.497.388;12.152.981;33.1
324;2.013.417;28.6;1971338;6;2.497.631;12.154.436;42.5
325;2.012.667;12.4;1712632;2;2.496.412;1.215.167;31.3
326;2.013.083;36.6;4888193;8;2.497.015;12.154.494;38.1
327;2.013.500;4.1;5647425;7;2.495.744;12.153.711;62.1
328;2.013.417;3.5;7573377;3;2.497.538;12.154.971;36.7
329;2.012.833;15.9;1497713;3;2.497.003;12.151.696;23.6
330;2.013.000;13.6;4197349;0;2.493.885;12.150.383;19.2
331;2.013.083;32;1156777;0;2.494.935;12.153.046;12.8
332;2.013.333;25.6;4519.69;0;2.494.826;12.149.587;15.6
333;2.013.167;39.8;6177134;2;2.497.577;12.153.475;39.6
334;2.012.750;7.8;1048101;5;2.496.674;12.154.067;38.4
335;2.012.917;30;1013341;5;2.499.006;1.215.346;22.8
336;2.013.583;27.3;3376016;6;2.496.431;12.154.063;36.5
337;2.012.833;5.1;1867233;2;2.498.407;12.151.748;35.6
338;2.012.833;31.3;6008604;5;2.496.871;12.154.651;30.9
339;2.012.917;31.5;258186;9;2.496.867;12.154.331;36.3
340;2.013.333;1.7;3299747;5;2.498.254;12.154.395;50.4
341;2.013.333;33.6;2708895;0;2.497.281;12.153.265;42.9
342;2.013.000;13;7500704;2;2.497.371;12.154.951;37
343;2.012.667;5.7;9045606;9;2.497.433;1.215.431;53.5
344;2.013.000;33.5;5632854;8;2.498.223;12.153.597;46.6
345;2.013.500;34.6;3085.17;0;24.998;1.215.155;41.2
346;2.012.667;0;1854296;0;249.711;1.215.317;37.9
347;2.013.417;13.2;1712632;2;2.496.412;1.215.167;30.8
348;2.013.583;17.4;6488021;1;2.495.719;12.147.353;11.2
349;2.012.833;4.6;2596607;6;2.497.585;12.154.516;53.7
350;2.012.750;7.8;1048101;5;2.496.674;12.154.067;47
351;2.013.000;13.2;4922313;5;2.496.515;12.153.737;42.3
352;2.012.833;4;2180245;3;2.496.324;12.151.241;28.6
353;2.012.833;18.4;2674961;3;2.496.143;12.150.827;25.7
354;2.013.500;4.1;2147376;3;2.496.299;12.151.284;31.3
355;2.013.417;12.2;1360139;1;2.495.204;12.154.842;30.1
356;2.013.250;3.8;3838624;5;2.498.085;12.154.391;60.7
357;2.012.833;10.3;2114473;1;2.497.417;12.152.999;45.3
358;2.013.417;0;3389679;9;2.496.853;12.154.413;44.9
359;2.013.167;1.1;1935845;6;2.496.571;12.154.089;45.1
360;2.013.500;5.6;2408993;0;2.495.505;12.155.964;24.7
361;2.012.667;32.9;8730222;10;24.983;12.154.022;47.1
362;2.013.083;41.4;281205;8;2.497.345;12.154.093;63.3
363;2.013.417;17.1;967.4;4;2.498.872;12.153.408;40
364;2.013.500;32.3;1099455;10;2.498.182;12.154.086;48
365;2.013.417;35.3;6141394;7;2.497.913;12.153.666;33.1
366;2.012.917;17.3;2261432;4;2.496.182;12.151.222;29.5
367;2.012.750;14.2;1801544;1;2.495.153;12.155.254;24.8
368;2.012.833;15;1828319;2;2.496.464;12.151.531;20.9
369;2.013.417;18.2;3508515;1;2.497.544;12.153.119;43.1
370;2.012.667;20.2;2185128;3;2.496.322;12.151.237;22.8
371;2.012.750;15.9;2893248;5;2.498.203;12.154.348;42.1
372;2.013.500;4.1;3128963;5;2.495.591;12.153.956;51.7
373;2.013.000;33.9;1576052;7;2.496.628;12.154.196;41.5
374;2.013.083;0;2740144;1;249.748;12.153.059;52.2
375;2.013.250;5.4;3905684;5;2.497.937;12.154.245;49.5
376;2.013.250;21.7;1157988;0;2.496.165;12.155.011;23.8
377;2.013.417;14.7;1717193;2;2.496.447;12.151.649;30.5
378;2.013.333;3.9;4966105;8;2.495.836;12.153.756;56.8
379;2.013.333;37.3;5878877;8;2.497.077;12.154.634;37.4
380;2.013.333;0;2929978;6;2.497.744;12.154.458;69.7
381;2.013.333;14.1;2893248;5;2.498.203;12.154.348;53.3
382;2.013.417;8;1325469;9;2.498.298;12.153.981;47.3
383;2.013.000;16.3;3529564;0;2.493.207;12.151.597;29.3
384;2.012.667;29.1;5061144;4;2.497.845;12.153.889;40.3
385;2.012.750;16.1;4066587;0;2.494.297;12.150.342;12.9
386;2.013.000;18.3;8288643;10;24.983;12.154.026;46.6
387;2.012.833;0;1854296;0;249.711;1.215.317;55.3
388;2.013.250;16.2;2103555;3;2.496.042;12.151.462;25.6
389;2.013.500;10.4;2251938;4;2.495.957;12.151.353;27.3
390;2.013.250;40.9;1223619;8;2.496.756;1.215.423;67.7
391;2.013.500;32.8;3778302;9;2.497.151;1.215.435;38.6
392;2.013.583;6.2;1939749;1;2.495.155;12.155.387;31.3
393;2.013.083;42.7;443802;6;2.497.927;12.153.874;35.3
394;2.013.000;16.9;967.4;4;2.498.872;12.153.408;40.3
395;2.013.500;32.6;4136271;1;2.495.544;1.214.963;24.7
396;2.012.917;21.2;5125487;4;24.974;12.153.842;42.5
397;2.012.667;37.1;9186357;1;2.497.198;12.155.063;31.9
398;2.013.417;13.1;1164838;4;2.499.156;12.153.406;32.2
399;2.013.417;14.7;1717193;2;2.496.447;12.151.649;23
400;2.012.917;12.7;1701289;1;2.497.371;12.152.984;37.3
401;2.013.250;26.8;4827581;5;2.497.433;12.153.863;35.5
402;2.013.083;7.6;2175.03;3;2.496.305;12.151.254;27.7
403;2.012.833;12.7;1874823;1;2.497.388;12.152.981;28.5
404;2.012.667;30.9;161942;9;2.498.353;12.153.966;39.7
405;2.013.333;16.4;2893248;5;2.498.203;12.154.348;41.2
406;2.012.667;23;1309945;6;2.495.663;12.153.765;37.2
407;2.013.167;1.9;3721386;7;2.497.293;12.154.026;40.5
408;2.013.000;5.2;2408993;0;2.495.505;12.155.964;22.3
409;2.013.417;18.5;2175744;3;249.633;12.151.243;28.1
410;2.013.000;13.7;4082015;0;2.494.155;12.150.381;15.4
411;2.012.667;5.6;9045606;9;2.497.433;1.215.431;50
412;2.013.250;18.8;3909696;7;2.497.923;12.153.986;40.6
413;2.013.000;8.1;1048101;5;2.496.674;12.154.067;52.5
414;2.013.500;6.5;9045606;9;2.497.433;1.215.431;63.9
